ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-21T12:53:20.000,0.19,288.65,0.06,-0.18
2023-08-21T13:08:20.000,0.80,140.36,-0.61,0.51
2023-08-21T13:23:20.000,0.28,139.47,-0.21,0.18
2023-08-21T13:38:20.000,0.21,107.12,-0.06,0.20
2023-08-21T13:53:20.000,0.95,359.41,0.95,-0.01
2023-08-21T14:08:20.000,0.21,32.20,0.18,0.11
2023-08-21T14:23:20.000,0.22,114.07,-0.09,0.20
2023-08-21T14:38:20.000,0.38,51.74,0.23,0.30
2023-08-21T14:53:20.000,0.17,6.87,0.17,0.02
2023-08-21T15:08:20.000,0.74,26.95,0.66,0.34
2023-08-21T15:23:20.000,0.20,359.09,0.20,-0.00
2023-08-21T15:38:20.000,0.28,21.43,0.26,0.10
2023-08-21T15:53:20.000,0.23,84.88,0.02,0.23
2023-08-21T16:08:20.000,0.46,337.82,0.42,-0.17
2023-08-21T16:23:20.000,0.23,84.48,0.02,0.23
2023-08-21T16:38:20.000,0.66,358.47,0.66,-0.02
2023-08-21T16:53:20.000,0.29,358.55,0.29,-0.01
2023-08-21T17:08:20.000,0.23,252.10,-0.07,-0.22
2023-08-21T17:23:20.000,0.16,21.61,0.15,0.06
2023-08-21T17:38:20.000,0.40,66.72,0.16,0.37
2023-08-21T17:53:20.000,1.56,118.95,-0.75,1.36
2023-08-21T18:08:20.000,0.75,107.77,-0.23,0.71
2023-08-21T18:23:20.000,0.61,119.67,-0.30,0.53
2023-08-21T18:38:20.000,0.48,167.20,-0.47,0.11
2023-08-21T18:53:20.000,0.54,347.76,0.53,-0.12
2023-08-21T19:08:20.000,0.25,333.46,0.23,-0.11
2023-08-21T19:23:20.000,0.22,233.53,-0.13,-0.17
2023-08-21T19:38:20.000,0.18,62.56,0.08,0.16
2023-08-21T19:53:20.000,0.29,46.13,0.20,0.21
2023-08-21T20:08:20.000,1.28,119.88,-0.64,1.11
2023-08-21T20:23:20.000,0.37,257.03,-0.08,-0.36
2023-08-21T20:38:20.000,0.58,357.25,0.58,-0.03
2023-08-21T20:53:20.000,0.18,259.65,-0.03,-0.18
2023-08-21T21:08:20.000,0.41,333.74,0.37,-0.18
2023-08-21T21:23:20.000,0.12,114.77,-0.05,0.11
2023-08-21T21:38:20.000,0.45,313.74,0.31,-0.33
2023-08-21T21:53:20.000,0.27,204.75,-0.24,-0.11
2023-08-21T22:08:20.000,0.32,167.66,-0.32,0.07
2023-08-21T22:23:20.000,0.19,195.11,-0.18,-0.05
2023-08-21T22:38:20.000,0.47,331.14,0.41,-0.23
2023-08-21T22:53:20.000,0.54,5.97,0.53,0.06
